# time, X, Y, Z
5.915136274743080139e+04,-2.766941849535833579e+06,-2.080136098500657594e+06,-7.342721995801058365e+05
5.975136274743080139e+04,-1.820819893160754582e+06,-1.723564385855952045e+06,-2.528967956677144393e+06
6.035136274743080139e+04,-2.703537759734225110e+05,-7.979205586429171963e+05,-3.487359023460236378e+06
6.095136274743080139e+04,1.371367284741858719e+06,3.860690567682636320e+05,-3.316709482277308591e+06
6.155136274743080139e+04,2.578932348868388683e+06,1.447537318087474909e+06,-2.086547600339997793e+06
6.215136274743080139e+04,2.968680278266004752e+06,2.049495968869409291e+06,-1.932051495093102567e+05
6.275136274743080139e+04,2.410946724482272286e+06,1.997681686683575157e+06,1.759368607894639717e+06
6.335136274743080139e+04,1.074164298635126557e+06,1.301629775621265173e+06,3.138798994558935054e+06
6.395136274743080139e+04,-6.159186420693763066e+05,1.792768635166601744e+05,3.480798521478564478e+06
6.434576322782039642e+04,-1.649466919142670697e+06,-6.163657328293405008e+05,3.058679258445442189e+06
6.475801741158962250e+04,-2.464950610770266503e+06,-1.347764579812834272e+06,2.129495693336190656e+06
6.519164673388004303e+04,-2.884619908497526310e+06,-1.876594431560772937e+06,7.778221888799589360e+05
6.572192742574214935e+04,-2.688100341312854085e+06,-2.057352898407313973e+06,-1.038697169022458605e+06
6.632192742574214935e+04,-1.617214874542094534e+06,-1.609476056732630823e+06,-2.738293026149010751e+06
6.692192742574214935e+04,-1.055584106085980602e+04,-6.317369462827529060e+05,-3.534850445781300776e+06
6.752192742574214935e+04,1.603335305187320104e+06,5.502597882562167943e+05,-3.189453175315965433e+06
6.812192742574214935e+04,2.709408786789427046e+06,1.557645457331825746e+06,-1.826307845207252540e+06
6.872192742574214935e+04,2.955932568564760033e+06,2.070696111234141747e+06,1.169878698900699383e+05
6.932192742574214935e+04,2.258136459820349235e+06,1.922947611688991310e+06,2.020081792008175515e+06
6.992192742574214935e+04,8.293978649580464698e+05,1.154394399578631623e+06,3.264649748249574099e+06
7.052192742574214935e+04,-8.728148493360589491e+05,7.278922307768022620e+03,3.427959845022250898e+06
7.112192742574214935e+04,-2.281479621196780354e+06,-1.140808760126770241e+06,2.434399518287139945e+06
7.163810018432140350e+04,-2.882086612166144885e+06,-1.828734732737894170e+06,8.921862359335162910e+05
7.221940993368625641e+04,-2.679091313091389835e+06,-2.042601390918957535e+06,-1.093859663155253278e+06
7.281940993368625641e+04,-1.581931132824691944e+06,-1.587664849847084377e+06,-2.773749261285237502e+06
7.341940993368625641e+04,3.872827948948186531e+04,-6.109381987100206316e+05,-3.540282937659386080e+06
7.401940993368625641e+04,1.650688014088107273e+06,5.629948446626702789e+05,-3.164810485892371275e+06
7.461940993368625641e+04,2.740294930195448920e+06,1.558481763998653740e+06,-1.780777639669513330e+06
7.521940993368625641e+04,2.961182811347515788e+06,2.059852607924047159e+06,1.683410656081646448e+05
7.581940993368625641e+04,2.236369010029198602e+06,1.904241038601193577e+06,2.060787049594955286e+06
7.641940993368625641e+04,7.874723427471632604e+05,1.133880516928611323e+06,3.281479786595541984e+06
7.701940993368625641e+04,-9.213668689960582415e+05,-8.408168771403063147e+03,3.414712396175254136e+06
7.761940993368625641e+04,-2.320143026150810998e+06,-1.146007992286519846e+06,2.394916154068171047e+06
7.813456035482883453e+04,-2.901235209556826390e+06,-1.822078652228337247e+06,8.444574599440791644e+05
