# time, X, Y, Z
2.922007809400558472e+03,-2.248895391542472877e+06,-2.060825541473008227e+06,-1.821463638152299216e+06
2.951118493556976318e+03,-2.182521573781821877e+06,-2.064106495539481519e+06,-1.897105512696912512e+06
3.038450545907020569e+03,-1.973044704302489758e+06,-2.063969127267214470e+06,-2.114566745174714830e+06
3.153615244984626770e+03,-1.675157827077649301e+06,-2.040952619855184108e+06,-2.377544494229897391e+06
3.258517611861228943e+03,-1.385303344677242450e+06,-1.997628868996511213e+06,-2.590995853684040252e+06
3.482889086961746216e+03,-7.206247872960856184e+05,-1.835841845052964520e+06,-2.953825585023824126e+06
3.598846821665763855e+03,-3.614462466762303957e+05,-1.717307019646142377e+06,-3.086779551502037328e+06
3.643183329582214355e+03,-2.226178155731013685e+05,-1.666099481454635505e+06,-3.127228146406779997e+06
3.763969113826751709e+03,1.570135949973599636e+05,-1.511088801206837874e+06,-3.207436523749738932e+06
3.872681710004806519e+03,4.970691614163625054e+05,-1.353569183453926118e+06,-3.241403260790381115e+06
3.918040272712707520e+03,6.375376024462227942e+05,-1.283231120290581370e+06,-3.244740024354559835e+06
4.036955874085426331e+03,9.992103583817814942e+05,-1.087223809774304042e+06,-3.223095629634048790e+06
4.168059297561645508e+03,1.382191002395502524e+06,-8.542038496796892723e+05,-3.148522948733496014e+06
4.439416140913963318e+03,2.095921197970721405e+06,-3.318055983918931452e+05,-2.830850020335721783e+06
4.691646145224571228e+03,2.627422886400545016e+06,1.755022396971447743e+05,-2.354640000978562050e+06
4.885458630084991455e+03,2.927370193294520956e+06,5.594999755008692155e+05,-1.888127127316238591e+06
4.971166146278381348e+03,3.026390614564000629e+06,7.235684276285662781e+05,-1.658659862112852978e+06
4.990907613039016724e+03,3.046140186703697313e+06,7.606623574031346943e+05,-1.604053472913310397e+06
4.999231361865997314e+03,3.054119277134448290e+06,7.762160993864745833e+05,-1.580844529828734463e+06
5.002054671287536621e+03,3.056778625592707191e+06,7.814797829533865442e+05,-1.572947891875586240e+06
5.007944830417633057e+03,3.062249834638209082e+06,7.924414464803033043e+05,-1.556433954654003726e+06
5.013014611959457397e+03,3.066875655454342719e+06,8.018547579821231775e+05,-1.542177661086455686e+06
5.024132644772529602e+03,3.076749437261154409e+06,8.224269164351767395e+05,-1.510778062729169382e+06
5.057486743092536926e+03,3.104129013627279084e+06,8.835339547093592118e+05,-1.415496045849985210e+06
5.145416121006011963e+03,3.160000598153054714e+06,1.039822830136183184e+06,-1.157185195137314266e+06
5.345332666039466858e+03,3.197329008735962212e+06,1.363947195028146729e+06,-5.404603132066209801e+05
5.742700421214103699e+03,2.901830890874866396e+06,1.838614848994121654e+06,7.232505549304996384e+05
6.094765949368476868e+03,2.263024941521765664e+06,2.023910864042974310e+06,1.754594468614535872e+06
6.479248063445091248e+03,1.254601488358031260e+06,1.945868434795681387e+06,2.632371269164519385e+06
6.827682640790939331e+03,1.788923576684396248e+05,1.631595224765795050e+06,3.100565543479990680e+06
7.074485866189002991e+03,-6.041998528053652262e+05,1.288794018193047959e+06,3.210364332906519528e+06
7.178826788663864136e+03,-9.272021981655064737e+05,1.119369150440664729e+06,3.198884811467207968e+06
7.240112825274467468e+03,-1.112543104488058947e+06,1.014148298199970275e+06,3.176095116236431058e+06
7.264052800297737122e+03,-1.183869228031625971e+06,9.720071389560907846e+05,3.163988916651897598e+06
7.272880679845809937e+03,-1.210005309162446996e+06,9.563280760486796498e+05,3.159072724161954597e+06
7.277287878632545471e+03,-1.223018973891402828e+06,9.484730230832508532e+05,3.156527438813650981e+06
7.281193133592605591e+03,-1.234531065529143205e+06,9.414974578306571348e+05,3.154221483333579265e+06
7.287082504749298096e+03,-1.251857117496164748e+06,9.309512051844156813e+05,3.150654202560906298e+06
